City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
334,Saint-Georges,GD,83.88,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
336,Sola,VU,80.28,overcast clouds,-13.8833,167.55,Leumerus Bungalows
352,Jacareacanga,BR,76.78,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
358,Acarau,BR,82.99,overcast clouds,-2.8856,-40.12,castelo pizzaria
359,Matara,LK,77.56,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
361,Tomatlan,MX,83.55,clear sky,19.9333,-105.25,El Salvial
365,Caledon,ZA,79.16,clear sky,-34.23,19.4265,Die Pastorie
372,Sechura,PE,80.87,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
373,Paracuru,BR,84.22,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
374,Acapulco,MX,84.54,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
378,Broken Hill,AU,76.71,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
385,Maninihon,PH,77.31,scattered clouds,9.37,122.84,HOTEL MAEFINN
387,Camopi,GF,79.34,scattered clouds,3.1655,-52.3158,La pousada
388,Orodara,BF,89.98,scattered clouds,10.9492,-4.9342,Bkf Orodara
394,Padang,ID,77.88,broken clouds,-0.9492,100.3543,Mercure Padang
400,Cabedelo,BR,84.87,broken clouds,-6.9811,-34.8339,Hotel Pigalle
409,Sao Jose Da Coroa Grande,BR,82.04,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
413,Kulhudhuffushi,MV,81.77,scattered clouds,6.6221,73.07,Haajy Guest House 1
418,Pangai,TO,82.17,light rain,-19.8,-174.35,Ha'apai Beach Resort
423,Ternate,ID,79.54,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
428,Batticaloa,LK,78.94,scattered clouds,7.7102,81.6924,Grand Star Guest House
429,Miranda,CO,77.13,scattered clouds,3.2499,-76.2281,unidiversidad organica la utopia
433,Mamallapuram,IN,80.06,broken clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
438,Tahoua,NE,80.55,clear sky,14.8888,5.2692,Bungalows Guesthouse
440,Pandan,PH,77.09,scattered clouds,14.0453,124.1694,Bonifacio Lodge
449,Ambulu,ID,77.67,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
451,Dicabisagan,PH,76.51,clear sky,17.0818,122.4157,Nancy Montanes Bernardo
452,Tabou,CI,84.09,overcast clouds,4.423,-7.3528,hotêl doufoulougou
454,Batemans Bay,AU,75.2,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
458,Nueva Loja,EC,86.4,overcast clouds,0.0847,-76.8828,Limoncocha Great Hotel
461,Banda Aceh,ID,78.89,few clouds,5.5577,95.3222,Sulthan Hotel International
463,Puerto Narino,CO,89.94,light rain,-3.7703,-70.3831,Eware Refugio Amazonico
465,Parakan,ID,75.78,overcast clouds,-6.4191,106.0081,Mejlis taklim Al-ikhlas
467,Quatre Cocos,MU,80.71,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
469,Puerto Cabezas,NI,82.74,clear sky,14.0351,-83.3888,Cabaña Caribe
470,Fare,PF,80.42,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
473,Illapel,CL,78.39,clear sky,-31.6308,-71.1653,Hotel Londres
475,Lufilufi,WS,82.62,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
477,Bambanglipuro,ID,76.73,light rain,-7.95,110.2833,Puri Brata
478,Saint-Marc,HT,80.26,scattered clouds,19.1082,-72.6938,Maguana Hotel
479,Tucuman,AR,81.9,few clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
481,Wau,SS,79.03,clear sky,7.7029,27.9953,Universal Gab Hotel
491,Tarakan,ID,76.5,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
494,Bachaquero,VE,85.21,few clouds,9.9694,-71.1494,casa de los dinosaurios
500,Souillac,MU,80.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
502,Parambu,BR,78.73,overcast clouds,-6.2111,-40.6944,Recanto das Amoras
509,Baon,PH,78.21,scattered clouds,6.7956,126.0878,SILENT BEACH RESORT
514,Villa Sandino,NI,82.09,scattered clouds,12.0483,-84.9936,Salón Rossmary
516,Bambous Virieux,MU,80.85,light rain,-20.3428,57.7575,Casa Tia Villa
518,Hobyo,SO,77.32,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
523,Metro,ID,76.17,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
534,Eyl,SO,75.81,overcast clouds,7.9803,49.8164,Amiin Hotel
535,George Town,MY,84.15,few clouds,5.4112,100.3354,Cititel Penang
537,Mahibadhoo,MV,82.08,scattered clouds,3.7833,72.9667,Omadhoo Inn
547,Vallenar,CL,81.27,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
553,Bandarbeyla,SO,76.62,broken clouds,9.4942,50.8122,JABIR HOTEL
560,Rio Grande,BR,78.94,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
562,Concordia,AR,82.47,few clouds,-31.393,-58.0209,Palmar Hotel Casino
569,Aquiraz,BR,84.29,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
571,Itacoatiara,BR,77.81,overcast clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
585,Tayoltita,MX,76.75,clear sky,24.0833,-105.9333,Hotel Rivera Tayoltita
591,Axim,GH,84.97,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
592,Cavalcante,BR,78.98,overcast clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
595,Antsohihy,MG,76.57,broken clouds,-14.8796,47.9875,Hotel de Ville
596,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
597,Imbituba,BR,75.09,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
606,Ouahigouya,BF,89.74,few clouds,13.5828,-2.4216,Hotel Liberte
614,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
618,Sena Madureira,BR,76.17,overcast clouds,-9.0656,-68.6569,Hotel Central
620,Bajos De Haina,DO,85.93,few clouds,18.4154,-70.0332,Familia García Santana
624,Oistins,BB,84.29,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
629,Sabang,ID,82.4,few clouds,5.8933,95.3214,Hotel Citra
636,General Pico,AR,86.88,few clouds,-35.6566,-63.7568,Euskadi Hotel
638,Champerico,GT,88.29,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
640,Port Moresby,PG,76.89,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
641,Tecoanapa,MX,85.69,broken clouds,16.5167,-98.75,Hotel Manglares
645,Miri,MY,77.27,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
647,Poum,NC,80.8,scattered clouds,-20.2333,164.0167,Gîte kajeon
656,Bitung,ID,77.85,scattered clouds,1.4451,125.1824,K2 Lembeh
660,Necochea,AR,89.04,clear sky,-38.5473,-58.7368,dyd -mar Hotel
665,Isabela,PH,78.24,scattered clouds,6.7085,121.9711,Isawad Resort
667,Japura,ID,77.94,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
671,Roebourne,AU,84.43,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
673,Sao Felix Do Xingu,BR,78.12,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
674,Mocuba,MZ,75.24,clear sky,-16.8392,36.9856,Phama Lodge
687,Pochutla,MX,86.83,clear sky,15.7432,-96.4661,Hotel Posada San Jose
689,Flinders,AU,75.2,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
