City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
176,Kaeo,NZ,-35.1,173.7833,60.28,86,62,8.68,broken clouds
177,Sorland,NO,67.667,12.6934,31.93,87,99,17.54,light snow
178,Calama,CL,-22.4667,-68.9333,70.29,30,1,18.41,clear sky
179,Namwala,ZM,-15.7504,26.4384,68.63,87,75,1.28,broken clouds
180,Lundamo,NO,63.1333,10.3,29.91,98,100,8.1,light snow
181,Ostrovnoy,RU,68.0531,39.5131,10.09,91,57,14.85,broken clouds
182,Mount Gambier,AU,-37.8333,140.7667,62.51,77,100,10.36,overcast clouds
183,Cayenne,GF,4.9333,-52.3333,86.04,77,40,4.0,scattered clouds
184,Barrhead,GB,55.7992,-4.3929,45.93,76,40,5.01,scattered clouds
185,Marzuq,YE,14.4,46.4667,65.75,66,54,5.35,broken clouds
186,Arlit,NE,18.7369,7.3853,76.8,9,6,13.09,clear sky
187,Kiama,AU,-34.6833,150.8667,75.38,86,100,3.0,overcast clouds
188,Galveston,US,29.3669,-94.9669,58.17,49,0,3.0,clear sky
189,The Valley,AI,18.217,-63.0578,85.86,65,40,12.66,scattered clouds
190,Kautokeino,NO,69.0125,23.0412,7.16,96,100,5.66,overcast clouds
191,Laguna,US,38.421,-121.4238,56.08,90,40,4.94,scattered clouds
192,Dunedin,NZ,-45.8742,170.5036,58.8,84,100,2.28,light rain
193,Grand Gaube,MU,-20.0064,57.6608,81.0,76,8,5.01,clear sky
194,Leon,MX,21.1167,-101.6667,60.28,52,0,5.68,clear sky
195,Mahebourg,MU,-20.4081,57.7,80.89,83,75,9.22,broken clouds
196,Namibe,AO,-15.1961,12.1522,73.26,73,95,10.16,overcast clouds
197,Razole,IN,16.4833,81.8333,66.22,86,0,3.89,clear sky
198,Kununurra,AU,-15.7667,128.7333,78.78,94,100,5.75,moderate rain
199,San Quintin,MX,30.4833,-115.95,62.74,35,27,5.17,scattered clouds
200,Cidreira,BR,-30.1811,-50.2056,74.98,58,41,12.59,scattered clouds
201,Paita,PE,-5.0892,-81.1144,81.16,66,94,8.01,overcast clouds
202,Mahon,ES,39.8885,4.2658,52.36,82,20,9.22,few clouds
203,Harper,LR,4.375,-7.7169,84.06,70,75,9.8,broken clouds
204,Lasa,IT,46.6166,10.7002,49.08,69,16,9.24,few clouds
205,San Cristobal,VE,7.7669,-72.225,77.18,31,22,6.78,few clouds
206,Russell,US,32.3502,-85.1999,37.06,30,0,12.66,clear sky
207,Kishpek,RU,43.655,43.6408,32.83,74,40,0.0,scattered clouds
208,Lagoa,PT,39.05,-27.9833,58.41,74,7,12.55,clear sky
209,Samarai,PG,-10.6167,150.6667,79.41,82,100,10.74,moderate rain
210,Muros,ES,42.7762,-9.0603,66.7,63,5,2.82,clear sky
211,Abha,SA,18.2164,42.5053,57.02,77,20,11.5,few clouds
212,Cabo San Lucas,MX,22.8909,-109.9124,75.51,67,1,1.99,clear sky
213,Selma,US,36.5708,-119.6121,51.17,50,100,1.79,overcast clouds
214,Yulara,AU,-25.2406,130.9889,82.24,61,40,14.97,scattered clouds
215,Tambura,SS,5.6,27.4667,79.54,18,0,5.41,clear sky
216,Torbay,CA,47.6666,-52.7314,36.28,86,75,20.71,light rain
217,Mayo,US,38.8876,-76.5119,27.19,54,0,17.0,haze
218,Bajil,YE,15.0584,43.2851,77.86,73,48,6.98,scattered clouds
219,Ust-Kalmanka,RU,52.1207,83.305,-5.75,96,17,2.77,few clouds
220,Luderitz,NA,-26.6481,15.1594,68.34,78,62,13.62,broken clouds
221,Cardedeu,ES,41.6398,2.3574,57.83,58,0,3.04,clear sky
222,Itamaraju,BR,-17.0392,-39.5311,92.68,42,1,6.31,clear sky
223,Araouane,ML,18.9048,-3.5265,82.85,9,93,13.27,overcast clouds
224,Gamba,GA,-2.65,10.0,78.96,80,92,6.64,overcast clouds
225,Richards Bay,ZA,-28.783,32.0377,72.68,86,49,6.85,moderate rain
226,Puerto Palomas,MX,31.7667,-107.6167,44.42,31,33,7.09,scattered clouds
227,Dingle,PH,10.9995,122.6711,75.54,90,50,1.79,scattered clouds
228,Narsaq,GL,60.9167,-46.05,18.09,91,100,8.43,overcast clouds
229,Puerto Del Rosario,ES,28.5004,-13.8627,65.88,82,0,3.44,haze
230,Medicine Hat,CA,50.0501,-110.6683,30.85,61,75,1.99,broken clouds
231,Upington,ZA,-28.4478,21.2561,100.78,16,20,5.75,few clouds
232,Idenao,CM,4.2475,9.0047,85.44,76,95,8.86,overcast clouds
233,Umm Lajj,SA,25.0213,37.2685,66.79,43,0,13.4,clear sky
