City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,Pringsewu,ID,2022-01-29 15:20:44,-5.3582,104.9744,73.98,96,100,2.66
151,Khatanga,RU,2022-01-29 15:20:44,71.9667,102.5,-2.88,98,100,5.5
152,Ustka,PL,2022-01-29 15:20:44,54.5805,16.8619,40.6,94,100,29.08
153,Pochutla,MX,2022-01-29 15:20:45,15.7432,-96.4661,80.82,58,1,1.74
154,Saint-Francois,FR,2022-01-29 15:20:45,46.4154,3.9054,38.68,100,90,4.61
155,Ucluelet,CA,2022-01-29 15:16:01,48.9329,-125.5528,43.09,88,100,8.14
156,Puerto Escondido,MX,2022-01-29 15:20:46,15.85,-97.0667,79.63,78,0,3.44
157,Gillette,US,2022-01-29 15:20:46,44.2911,-105.5022,35.82,37,1,16.11
158,Zheleznodorozhnyy,RU,2022-01-29 15:20:47,55.7503,38.0042,25.32,99,92,2.1
159,Naze,JP,2022-01-29 15:20:47,28.3667,129.4833,55.4,85,100,11.56
160,Hofn,IS,2022-01-29 15:20:48,64.2539,-15.2082,28.56,50,2,6.67
161,Mastic Beach,US,2022-01-29 15:20:48,40.7668,-72.8521,23.41,91,100,11.01
162,Yulara,AU,2022-01-29 15:20:49,-25.2406,130.9889,82.24,61,91,17.27
163,Victoria,HK,2022-01-29 15:18:29,22.2855,114.1577,64.26,86,64,1.99
164,Faanui,PF,2022-01-29 15:20:49,-16.4833,-151.75,80.24,74,16,11.81
165,Nioro,GM,2022-01-29 15:18:09,13.35,-15.75,96.75,10,85,9.06
166,Torbay,CA,2022-01-29 15:16:05,47.6666,-52.7314,37.27,78,40,21.85
167,Lagoa,PT,2022-01-29 15:20:50,39.05,-27.9833,58.48,74,5,11.61
168,Lang Suan,TH,2022-01-29 15:20:50,9.9456,99.0785,77.29,80,25,3.91
169,Necochea,AR,2022-01-29 15:20:51,-38.5473,-58.7368,87.04,40,0,11.83
170,Dingle,PH,2022-01-29 15:20:51,10.9995,122.6711,76.41,88,33,2.53
171,Saint-Philippe,RE,2022-01-29 15:20:52,-21.3585,55.7679,81.99,85,59,8.59
172,Concepcion Del Uruguay,AR,2022-01-29 15:20:52,-32.4825,-58.2372,81.99,52,0,4.0
173,Ribeira Grande,PT,2022-01-29 15:20:53,38.5167,-28.7,64.8,55,20,6.91
174,Ibra,OM,2022-01-29 15:20:53,22.6906,58.5334,76.41,26,5,8.32
175,Khao Yoi,TH,2022-01-29 15:20:54,13.2403,99.8243,79.92,74,40,6.67
176,Lenexa,US,2022-01-29 15:20:46,38.9536,-94.7336,32.11,65,0,10.0
177,Namibe,AO,2022-01-29 15:20:54,-15.1961,12.1522,75.52,68,92,12.28
178,Bambous Virieux,MU,2022-01-29 15:20:54,-20.3428,57.7575,82.65,78,40,9.22
179,Nantucket,US,2022-01-29 15:20:55,41.2835,-70.0995,33.91,97,100,54.29
180,Bijie,CN,2022-01-29 15:20:55,27.3125,105.2942,33.6,86,5,3.51
181,Klaksvik,FO,2022-01-29 15:20:56,62.2266,-6.589,36.52,69,87,48.47
182,Korla,CN,2022-01-29 15:20:56,41.7597,86.1469,24.8,57,71,7.25
183,Ambon,ID,2022-01-29 15:21:56,-3.6954,128.1814,78.94,89,40,5.75
184,Asau,RO,2022-01-29 15:21:57,46.4333,26.4,31.28,83,81,3.87
